연번,시도명,센터명,통번역지원사 배치인원,베트남어,중국어,일본어,태국어,러시아어,네팔어,몽골어,캄보디아어,필리핀어
1,서울특별시,강남구 가족센터,1,X,O,X,X,X,X,X,X,X
2,서울특별시,강동구 가족센터,1,O,X,X,X,X,X,X,X,X
3,서울특별시,강북구 가족센터,1,O,X,X,X,X,X,X,X,X
4,서울특별시,강서구 가족센터,1,O,X,X,X,X,X,X,X,X
5,서울특별시,관악구 가족센터,1,O,X,X,X,X,X,X,X,X
6,서울특별시,광진구 가족센터,1,X,O,X,X,X,X,X,X,X
7,서울특별시,구로구 가족센터,3,O,O,X,X,X,X,X,O,X
8,서울특별시,금천구 가족센터,1,O,X,X,X,X,X,X,X,X
9,서울특별시,노원구 가족센터,2,O,O,X,X,X,X,X,X,X
10,서울특별시,도봉구 가족센터,2,O,O,X,X,X,X,X,X,X
11,서울특별시,동대문구 가족센터,4,O,O,O,X,X,X,O,X,X
12,서울특별시,동작구 가족센터,2,O,O,X,X,X,X,X,X,X
13,서울특별시,마포구 가족센터,1,X,O,X,X,X,X,X,X,X
14,서울특별시,서대문구 가족센터,1,O,X,X,X,X,X,X,X,X
15,서울특별시,서울시 가족센터,0,X,X,X,X,X,X,X,X,X
16,서울특별시,중구 가족센터,1,X,X,X,X,X,X,O,X,X
17,서울특별시,서초구 가족센터,1,O,X,X,X,X,X,X,X,X
18,서울특별시,성동구 가족센터,1,O,X,X,X,X,X,X,X,X
19,서울특별시,성북구 가족센터,2,O,X,X,X,X,X,O,X,X
20,서울특별시,송파구 가족센터,1,O,X,X,X,X,X,X,X,X
21,서울특별시,양천구 가족센터,0,X,X,X,X,X,X,X,X,X
22,서울특별시,영등포구 가족센터,3,O,O,X,X,X,X,O,X,X
23,서울특별시,용산구 가족센터,1,O,X,X,X,X,X,X,X,X
24,서울특별시,은평구 가족센터,1,O,X,X,X,X,X,X,X,X
25,서울특별시,종로구 가족센터,1,O,X,X,X,X,X,X,X,X
26,서울특별시,중랑구 가족센터,1,O,X,X,X,X,X,X,X,X
27,부산광역시,금정구 가족센터,1,O,X,X,X,X,X,X,X,X
28,부산광역시,기장군 가족센터,1,O,X,X,X,X,X,X,X,X
29,부산광역시,남구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
30,부산광역시,동구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
31,부산광역시,동래구 가족센터,1,O,X,X,X,X,X,X,X,X
32,부산광역시,북구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
33,부산광역시,사하구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
34,부산광역시,서구 가족센터,1,O,X,X,X,X,X,X,X,X
35,부산광역시,진구 다문화가족지원센터,0,X,X,X,X,X,X,X,X,X
36,부산광역시,해운대구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
37,부산광역시,사상구 가족센터,1,O,X,X,X,X,X,X,X,X
38,부산광역시,수영구 가족센터,0,X,X,X,X,X,X,X,X,X
39,부산광역시,연제구 가족센터,0,X,X,X,X,X,X,X,X,X
40,부산광역시,영도구 가족센터,1,O,X,X,X,X,X,X,X,X
41,대구광역시,달성군 가족센터,2,O,O,X,X,X,X,X,X,X
42,대구광역시,남구 가족센터,1,O,X,X,X,X,X,X,X,X
43,대구광역시,달서구 가족센터,2,O,O,X,X,X,X,X,X,X
44,대구광역시,동구 가족센터,1,O,X,X,X,X,X,X,X,X
45,대구광역시,북구 가족센터,2,O,O,X,X,X,X,X,X,X
46,대구광역시,서구 가족센터,2,O,O,X,X,X,X,X,X,X
47,대구광역시,중구 가족센터,1,X,O,X,X,X,X,X,X,X
48,대구광역시,수성구 가족센터,1,X,O,X,X,X,X,X,X,X
49,인천광역시,강화군 가족센터,2,O,O,X,X,X,X,X,X,X
50,인천광역시,미추홀구 가족센터,3,O,O,X,X,X,X,X,O,X
51,인천광역시,계양구 가족센터,1,X,O,X,X,X,X,X,X,X
52,인천광역시,남동구 가족센터,2,O,O,X,X,X,X,X,X,X
53,인천광역시,동구 가족센터,1,O,X,X,X,X,X,X,X,X
54,인천광역시,부평구 다문화가족지원센터,1,O,X,X,X,X,X,X,X,X
55,인천광역시,서구 가족센터,1,O,X,X,X,X,X,X,X,X
